Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,14210.000000,14390.000000,14120.000000,14280.000000,12927.161133,254600
2011-01-05,14250.000000,14300.000000,14110.000000,14280.000000,12927.161133,242700
2011-01-06,14480.000000,14850.000000,14450.000000,14850.000000,13443.165039,450400
2011-01-07,14840.000000,14910.000000,14700.000000,14900.000000,13488.426758,152300
2011-01-11,14730.000000,14810.000000,14650.000000,14750.000000,13352.638672,287600
2011-01-12,14840.000000,14850.000000,14650.000000,14660.000000,13271.162109,168500
2011-01-13,14800.000000,14800.000000,14490.000000,14670.000000,13280.214844,225400
2011-01-14,14620.000000,14660.000000,14470.000000,14500.000000,13126.321289,169200
2011-01-17,14640.000000,14640.000000,14350.000000,14350.000000,12990.530273,172200
2011-01-18,14360.000000,14450.000000,14310.000000,14390.000000,13026.741211,252000
2011-01-19,14430.000000,14710.000000,14360.000000,14710.000000,13316.425781,216700
2011-01-20,14590.000000,14620.000000,14310.000000,14390.000000,13026.741211,217300
2011-01-21,14370.000000,14390.000000,13530.000000,13590.000000,12302.531250,605200
2011-01-24,13600.000000,13660.000000,13300.000000,13510.000000,12230.112305,493400
2011-01-25,13430.000000,13810.000000,13300.000000,13750.000000,12447.374023,468500
2011-01-26,13700.000000,13870.000000,13640.000000,13830.000000,12519.795898,251600
2011-01-27,13790.000000,14310.000000,13790.000000,14210.000000,12863.793945,410400
2011-01-28,14200.000000,14350.000000,14080.000000,14200.000000,12854.740234,268700
2011-01-31,13850.000000,14080.000000,13680.000000,13890.000000,12574.111328,322300
2011-02-01,13970.000000,14130.000000,13850.000000,14040.000000,12709.899414,182500
2011-02-02,14350.000000,14450.000000,14330.000000,14410.000000,13044.847656,313900
2011-02-03,14320.000000,14400.000000,14250.000000,14370.000000,13008.636719,199800
2011-02-04,14400.000000,14600.000000,14320.000000,14590.000000,13207.795898,297500
2011-02-07,14700.000000,14750.000000,14610.000000,14720.000000,13325.477539,273700
2011-02-08,14850.000000,14890.000000,14590.000000,14740.000000,13343.583984,290500
2011-02-09,14300.000000,14420.000000,14020.000000,14180.000000,12836.638672,483600
2011-02-10,14180.000000,14180.000000,13970.000000,14040.000000,12709.899414,274900
2011-02-14,14270.000000,14330.000000,14070.000000,14310.000000,12954.319336,175600
2011-02-15,14540.000000,14740.000000,14500.000000,14710.000000,13316.425781,245700
2011-02-16,14720.000000,14780.000000,14500.000000,14510.000000,13135.373047,171200
2011-02-17,14540.000000,14660.000000,14400.000000,14480.000000,13108.216797,255900
2011-02-18,14500.000000,14620.000000,14370.000000,14500.000000,13126.321289,167700
2011-02-21,14560.000000,14720.000000,14430.000000,14660.000000,13271.162109,203800
2011-02-22,14600.000000,14600.000000,14260.000000,14270.000000,12918.110352,191100
2011-02-23,14020.000000,14340.000000,14020.000000,14040.000000,12709.899414,220500
2011-02-24,13800.000000,13870.000000,13690.000000,13740.000000,12438.321289,240000
2011-02-25,13650.000000,13800.000000,13440.000000,13700.000000,12402.112305,430700
2011-02-28,13730.000000,14030.000000,13460.000000,13950.000000,12628.425781,445800
2011-03-01,13870.000000,14060.000000,13810.000000,14030.000000,12700.848633,352000
2011-03-02,13880.000000,13980.000000,13720.000000,13940.000000,12619.375000,305700
2011-03-03,13940.000000,14150.000000,13930.000000,14080.000000,12746.111328,284300
2011-03-04,14170.000000,14350.000000,14140.000000,14350.000000,12990.530273,305300
2011-03-07,14120.000000,14140.000000,13830.000000,13970.000000,12646.532227,307200
2011-03-08,13960.000000,14170.000000,13910.000000,14040.000000,12709.899414,300900
2011-03-09,14280.000000,14320.000000,14090.000000,14180.000000,12836.638672,250900
2011-03-10,13990.000000,14070.000000,13720.000000,13840.000000,12528.848633,242700
2011-03-11,13800.000000,13830.000000,13610.000000,13630.000000,12338.743164,330600
2011-03-14,12000.000000,12890.000000,11110.000000,12240.000000,11080.425781,551900
2011-03-15,12540.000000,12580.000000,11710.000000,11870.000000,10745.478516,823400
2011-03-16,12870.000000,13960.000000,12770.000000,13160.000000,11913.267578,685200
2011-03-17,13250.000000,13540.000000,12840.000000,13280.000000,12021.901367,778200
2011-03-18,13540.000000,13760.000000,13400.000000,13560.000000,12275.374023,271100
2011-03-22,13860.000000,13860.000000,13400.000000,13720.000000,12420.217773,335000
2011-03-23,13530.000000,13640.000000,13190.000000,13340.000000,12076.214844,290200
2011-03-24,13290.000000,13360.000000,13110.000000,13180.000000,11931.376953,412500
2011-03-25,13190.000000,13340.000000,12950.000000,13070.000000,11831.792969,332300
2011-03-28,13120.000000,13140.000000,12850.000000,13080.000000,11840.847656,223400
2011-03-29,12700.000000,13370.000000,12700.000000,13340.000000,12114.187500,327200
2011-03-30,13330.000000,13590.000000,13260.000000,13570.000000,12323.054688,182600
2011-03-31,13690.000000,13690.000000,13350.000000,13690.000000,12432.025391,205500
2011-04-01,13760.000000,13760.000000,13260.000000,13270.000000,12050.618164,205800
2011-04-04,13380.000000,13550.000000,13300.000000,13310.000000,12086.946289,187500
2011-04-05,13490.000000,13500.000000,12970.000000,13040.000000,11841.753906,284100
2011-04-06,13300.000000,13300.000000,12910.000000,13150.000000,11941.645508,315700
2011-04-07,13150.000000,13390.000000,13100.000000,13250.000000,12032.457031,211700
2011-04-08,13260.000000,13880.000000,13190.000000,13620.000000,12368.460938,366400
2011-04-11,13530.000000,13740.000000,13500.000000,13560.000000,12313.972656,185900
2011-04-12,13430.000000,13550.000000,13230.000000,13300.000000,12077.861328,345300
2011-04-13,13300.000000,13670.000000,13280.000000,13630.000000,12377.541016,276400
2011-04-14,13530.000000,13740.000000,13450.000000,13680.000000,12422.947266,197500
2011-04-15,13580.000000,13780.000000,13480.000000,13710.000000,12450.187500,228100
2011-04-18,13700.000000,13780.000000,13460.000000,13760.000000,12495.592773,181900
2011-04-19,13560.000000,13620.000000,13500.000000,13580.000000,12332.133789,262500
2011-04-20,13710.000000,13890.000000,13610.000000,13790.000000,12522.837891,282600
2011-04-21,13860.000000,14030.000000,13820.000000,14010.000000,12722.623047,207900
2011-04-22,13900.000000,14290.000000,13830.000000,14190.000000,12886.083984,208300
2011-04-25,14200.000000,14330.000000,13910.000000,14010.000000,12722.623047,146000
2011-04-26,13900.000000,13960.000000,13820.000000,13850.000000,12577.324219,320100
2011-04-27,13970.000000,14390.000000,13960.000000,14370.000000,13049.541016,471000
2011-04-28,14550.000000,14900.000000,14460.000000,14750.000000,13394.625000,467500
2011-05-02,14800.000000,14870.000000,14620.000000,14680.000000,13331.053711,219100
2011-05-06,14400.000000,14400.000000,14150.000000,14210.000000,12904.243164,470000
2011-05-09,14220.000000,14230.000000,13860.000000,13950.000000,12668.134766,328300
2011-05-10,13960.000000,14060.000000,13900.000000,13920.000000,12640.893555,296900
2011-05-11,14160.000000,14180.000000,14000.000000,14030.000000,12740.785156,139100
2011-05-12,13950.000000,14030.000000,13770.000000,13860.000000,12586.405273,195500
2011-05-13,13780.000000,14010.000000,13470.000000,13990.000000,12704.460938,340000
2011-05-16,13780.000000,13880.000000,13550.000000,13640.000000,12386.621094,249800
2011-05-17,13670.000000,13780.000000,13510.000000,13720.000000,12459.271484,201500
2011-05-18,13800.000000,14060.000000,13780.000000,13830.000000,12559.163086,294700
2011-05-19,13840.000000,13850.000000,13480.000000,13500.000000,12259.486328,325400
2011-05-20,13540.000000,13690.000000,13490.000000,13590.000000,12341.215820,179700
2011-05-23,13290.000000,13290.000000,12820.000000,12910.000000,11723.701172,546700
2011-05-24,12770.000000,13040.000000,12730.000000,12800.000000,11623.806641,436800
2011-05-25,12850.000000,12940.000000,12730.000000,12780.000000,11605.645508,217800
2011-05-26,12970.000000,12980.000000,12820.000000,12890.000000,11705.538086,329300
2011-05-27,12870.000000,12930.000000,12750.000000,12750.000000,11578.403320,247000
2011-05-30,12890.000000,13020.000000,12720.000000,12870.000000,11687.376953,260100
2011-05-31,12820.000000,13050.000000,12820.000000,13040.000000,11841.753906,321100
2011-06-01,13140.000000,13160.000000,12870.000000,13130.000000,11923.486328,372500
2011-06-02,12800.000000,12940.000000,12710.000000,12910.000000,11723.701172,356100
2011-06-03,12880.000000,13050.000000,12810.000000,12930.000000,11741.864258,257500
2011-06-06,12840.000000,12850.000000,12710.000000,12770.000000,11596.565430,245600
2011-06-07,12680.000000,12920.000000,12570.000000,12870.000000,11687.376953,277600
2011-06-08,12990.000000,13090.000000,12910.000000,13060.000000,11859.917969,262100
2011-06-09,13070.000000,13090.000000,12900.000000,13070.000000,11868.997070,191000
2011-06-10,13230.000000,13340.000000,13230.000000,13320.000000,12096.027344,424200
2011-06-13,13100.000000,13200.000000,12920.000000,13200.000000,11987.051758,231100
2011-06-14,13120.000000,13250.000000,12960.000000,13240.000000,12023.375977,263900
2011-06-15,13300.000000,13490.000000,13230.000000,13460.000000,12223.162109,202300
2011-06-16,13430.000000,13750.000000,13420.000000,13670.000000,12413.864258,640400
2011-06-17,13500.000000,13510.000000,13210.000000,13280.000000,12059.703125,343900
2011-06-20,13300.000000,13370.000000,13140.000000,13180.000000,11968.893555,166400
2011-06-21,13330.000000,13750.000000,13320.000000,13740.000000,12477.432617,384100
2011-06-22,13720.000000,13920.000000,13660.000000,13920.000000,12640.893555,232900
2011-06-23,13930.000000,14120.000000,13870.000000,13920.000000,12640.893555,410400
2011-06-24,13890.000000,14070.000000,13740.000000,14070.000000,12777.110352,272700
2011-06-27,14020.000000,14030.000000,13830.000000,13830.000000,12559.163086,158400
2011-06-28,13960.000000,14050.000000,13900.000000,13970.000000,12686.297852,150300
2011-06-29,14170.000000,14220.000000,14010.000000,14200.000000,12895.161133,235900
2011-06-30,14320.000000,14450.000000,14240.000000,14440.000000,13113.111328,358500
