Date,Open,High,Low,Close,Adj Close,Volume
2011-01-04,12640.000000,12700.000000,12570.000000,12690.000000,11991.280273,1022400
2011-01-05,12620.000000,12640.000000,12550.000000,12630.000000,11934.584961,910800
2011-01-06,12810.000000,13050.000000,12790.000000,12970.000000,12255.865234,1355000
2011-01-07,12980.000000,13110.000000,12940.000000,13100.000000,12378.706055,1160900
2011-01-11,13090.000000,13090.000000,12950.000000,12980.000000,12265.311523,1133100
2011-01-12,13020.000000,13070.000000,12920.000000,12920.000000,12208.618164,926600
2011-01-13,12990.000000,13070.000000,12970.000000,13050.000000,12331.460938,913900
2011-01-14,12860.000000,13040.000000,12800.000000,12810.000000,12104.674805,1652000
2011-01-17,12980.000000,12980.000000,12840.000000,12860.000000,12151.919922,776800
2011-01-18,12810.000000,12960.000000,12810.000000,12930.000000,12218.065430,579700
2011-01-19,12990.000000,13020.000000,12900.000000,12980.000000,12265.311523,586200
2011-01-20,12830.000000,12890.000000,12660.000000,12760.000000,12057.426758,870300
2011-01-21,12670.000000,12700.000000,12200.000000,12230.000000,11556.607422,2008000
2011-01-24,12370.000000,12400.000000,12200.000000,12320.000000,11641.654297,918200
2011-01-25,12310.000000,12620.000000,12300.000000,12620.000000,11925.134766,1024400
2011-01-26,12530.000000,12680.000000,12530.000000,12670.000000,11972.382813,933800
2011-01-27,12790.000000,13340.000000,12780.000000,13250.000000,12520.445313,4992200
2011-01-28,13150.000000,13200.000000,12840.000000,12920.000000,12208.618164,1810100
2011-01-31,12780.000000,13080.000000,12640.000000,12960.000000,12246.415039,1732500
2011-02-01,13130.000000,13130.000000,12960.000000,13010.000000,12293.661133,742600
2011-02-02,12850.000000,12990.000000,12700.000000,12840.000000,12133.021484,1774700
2011-02-03,12560.000000,12600.000000,12340.000000,12390.000000,11707.798828,1706400
2011-02-04,12460.000000,12500.000000,12370.000000,12390.000000,11707.798828,1140900
2011-02-07,12510.000000,12550.000000,12360.000000,12380.000000,11698.351563,1185400
2011-02-08,12430.000000,12460.000000,12270.000000,12290.000000,11613.305664,1148300
2011-02-09,12380.000000,12430.000000,12200.000000,12230.000000,11556.607422,990100
2011-02-10,12120.000000,12240.000000,12080.000000,12170.000000,11499.911133,1091200
2011-02-14,12640.000000,12640.000000,12510.000000,12630.000000,11934.584961,1431000
2011-02-15,12680.000000,12710.000000,12540.000000,12620.000000,11925.134766,975500
2011-02-16,12680.000000,12800.000000,12630.000000,12720.000000,12019.629883,1290000
2011-02-17,12830.000000,12830.000000,12720.000000,12760.000000,12057.426758,699800
2011-02-18,12780.000000,12830.000000,12650.000000,12740.000000,12038.528320,1079200
2011-02-21,12850.000000,12880.000000,12630.000000,12790.000000,12085.774414,990900
2011-02-22,12630.000000,12710.000000,12500.000000,12620.000000,11925.134766,1374100
2011-02-23,12500.000000,12540.000000,12360.000000,12410.000000,11726.696289,1038100
2011-02-24,12270.000000,12500.000000,12220.000000,12380.000000,11698.351563,1091500
2011-02-25,12280.000000,12370.000000,12180.000000,12220.000000,11547.159180,1481700
2011-02-28,12370.000000,12710.000000,12320.000000,12680.000000,11981.833008,1919600
2011-03-01,12680.000000,12890.000000,12670.000000,12890.000000,12180.266602,1155100
2011-03-02,12740.000000,12820.000000,12650.000000,12650.000000,11953.483398,1131300
2011-03-03,12750.000000,12820.000000,12690.000000,12800.000000,12095.224609,722000
2011-03-04,12980.000000,13000.000000,12890.000000,12960.000000,12246.415039,1240000
2011-03-07,13120.000000,13150.000000,12770.000000,12800.000000,12095.224609,1579800
2011-03-08,12860.000000,12860.000000,12710.000000,12810.000000,12104.674805,742700
2011-03-09,12970.000000,13020.000000,12860.000000,12880.000000,12170.818359,932100
2011-03-10,12940.000000,12980.000000,12500.000000,12530.000000,11840.092773,1354900
2011-03-11,12280.000000,12610.000000,12280.000000,12350.000000,11670.002930,3972100
2011-03-14,11510.000000,12060.000000,11500.000000,11920.000000,11263.678711,2155200
2011-03-15,11800.000000,12040.000000,11610.000000,11740.000000,11093.586914,3823000
2011-03-16,12340.000000,12380.000000,11500.000000,11840.000000,11188.083984,3710100
2011-03-17,11240.000000,11650.000000,11120.000000,11370.000000,10743.960938,3521400
2011-03-18,11480.000000,11900.000000,11420.000000,11490.000000,10857.353516,2520200
2011-03-22,11910.000000,12190.000000,11890.000000,12150.000000,11481.012695,2849800
2011-03-23,12350.000000,12350.000000,11750.000000,11830.000000,11178.629883,2158200
2011-03-24,11940.000000,12040.000000,11800.000000,11990.000000,11329.824219,1213700
2011-03-25,12090.000000,12180.000000,11990.000000,12180.000000,11509.361328,1483000
2011-03-28,12150.000000,12150.000000,11910.000000,12070.000000,11405.420898,1048900
2011-03-29,11880.000000,12100.000000,11860.000000,12040.000000,11395.685547,1493200
2011-03-30,12110.000000,12400.000000,12070.000000,12400.000000,11736.422852,1165100
2011-03-31,12450.000000,12590.000000,12320.000000,12590.000000,11916.254883,1285900
2011-04-01,12560.000000,12630.000000,12330.000000,12350.000000,11689.097656,1102900
2011-04-04,12450.000000,12580.000000,12430.000000,12510.000000,11840.536133,807700
2011-04-05,12520.000000,12580.000000,12400.000000,12450.000000,11783.742188,973700
2011-04-06,12540.000000,12550.000000,12300.000000,12330.000000,11670.166992,1328100
2011-04-07,12420.000000,12530.000000,12380.000000,12430.000000,11764.818359,860200
2011-04-08,12440.000000,12880.000000,12370.000000,12840.000000,12152.875000,2340800
2011-04-11,12860.000000,13110.000000,12840.000000,12860.000000,12171.804688,1693900
2011-04-12,12760.000000,13060.000000,12720.000000,12990.000000,12294.849609,2089400
2011-04-13,13070.000000,13350.000000,13010.000000,13310.000000,12597.723633,2347900
2011-04-14,13300.000000,13440.000000,13230.000000,13290.000000,12578.793945,1550900
2011-04-15,13300.000000,13340.000000,13060.000000,13150.000000,12446.284180,960800
2011-04-18,13150.000000,13290.000000,13050.000000,13120.000000,12417.890625,1124200
2011-04-19,12970.000000,13010.000000,12780.000000,12890.000000,12200.197266,1022100
2011-04-20,13050.000000,13250.000000,12940.000000,13190.000000,12484.145508,1147600
2011-04-21,13300.000000,13380.000000,13200.000000,13250.000000,12540.932617,1120200
2011-04-22,13080.000000,13340.000000,13060.000000,13220.000000,12512.539063,1495800
2011-04-25,13250.000000,13290.000000,13020.000000,13050.000000,12351.638672,1058400
2011-04-26,12820.000000,12910.000000,12770.000000,12800.000000,12115.016602,1053100
2011-04-27,12970.000000,13340.000000,12950.000000,13260.000000,12550.398438,2253400
2011-04-28,13260.000000,13490.000000,13160.000000,13450.000000,12730.231445,1565900
2011-05-02,13520.000000,13560.000000,13440.000000,13540.000000,12815.414063,796000
2011-05-06,13280.000000,13340.000000,13060.000000,13160.000000,12455.750977,1582000
2011-05-09,13160.000000,13210.000000,13030.000000,13120.000000,12417.890625,1233200
2011-05-10,13070.000000,13170.000000,13040.000000,13110.000000,12408.425781,759200
2011-05-11,13300.000000,13310.000000,13170.000000,13210.000000,12503.074219,942800
2011-05-12,13020.000000,13200.000000,12970.000000,12970.000000,12275.919922,748100
2011-05-13,13010.000000,13030.000000,12760.000000,12940.000000,12247.524414,1560200
2011-05-16,12950.000000,13040.000000,12860.000000,12930.000000,12238.058594,697500
2011-05-17,12720.000000,12910.000000,12670.000000,12850.000000,12162.339844,1213000
2011-05-18,12850.000000,12930.000000,12780.000000,12860.000000,12171.804688,860800
2011-05-19,12980.000000,13050.000000,12890.000000,12920.000000,12228.594727,726500
2011-05-20,12920.000000,13020.000000,12810.000000,12820.000000,12133.943359,559700
2011-05-23,12660.000000,12670.000000,12260.000000,12300.000000,11641.773438,1480900
2011-05-24,12200.000000,12370.000000,12180.000000,12310.000000,11651.236328,948500
2011-05-25,12270.000000,12340.000000,12170.000000,12200.000000,11547.123047,738200
2011-05-26,12330.000000,12520.000000,12290.000000,12510.000000,11840.536133,964100
2011-05-27,12380.000000,12490.000000,12330.000000,12360.000000,11698.560547,772700
2011-05-30,12230.000000,12310.000000,12140.000000,12270.000000,11613.380859,792500
2011-05-31,12240.000000,12490.000000,12210.000000,12490.000000,11821.602539,865300
2011-06-01,12640.000000,12720.000000,12600.000000,12670.000000,11991.973633,1211400
2011-06-02,12290.000000,12360.000000,12230.000000,12340.000000,11679.630859,1628500
2011-06-03,12340.000000,12490.000000,12330.000000,12340.000000,11679.630859,921500
2011-06-06,12240.000000,12340.000000,12150.000000,12200.000000,11547.123047,708600
